state,Murder per capita,Violent Crime per capita,Property Crime per capita,Undergrad_Grad_Rate,HS_Grad_Rate,STEM_Grad_Percentage,death_rate_Alzheimer's disease,death_rate_Cancer,death_rate_Heart disease,death_rate_Unintentional injuries,death_rate_All causes,death_rate_Influenza and pneumonia,death_rate_Suicide,death_rate_Kidney disease,death_rate_CLRD,death_rate_Diabetes
Illinois,1.574917238099138e-05,0.0006875794926976,0.0022764647467775,61.5%,86.2%,19.0%,20.957894736842103,185.07894736842104,204.64210526315787,34.05263157894737,785.4,19.457894736842103,9.215789473684213,18.14736842105264,39.37368421052632,21.68947368421053
Indiana,1.714541572944005e-05,0.0008268635239336,0.0029545543081644,61.1%,87.2%,22.0%,27.026315789473685,193.2263157894737,214.9157894736842,41.03157894736842,858.2736842105263,17.542105263157897,12.994736842105263,19.37894736842105,53.92631578947368,26.01052631578948
Virginia,1.0436624914876815e-05,0.0003185096918236,0.0021813638611339,67.0%,87.5%,22.0%,22.73684210526316,179.96315789473684,189.1052631578948,36.29473684210527,786.0894736842106,19.063157894736843,11.805263157894736,18.31052631578948,39.51052631578948,21.23684210526316
Idaho,1.466213593916463e-06,0.0002497875477751,0.0010608799083518,47.4%,80.8%,22.0%,26.87894736842105,164.83157894736843,174.54736842105262,45.30526315789474,758.642105263158,16.736842105263158,17.900000000000002,9.189473684210526,47.83157894736842,23.757894736842104
New Hampshire,2.5414322772989103e-06,0.0002684099043774,0.0014654822668097,67.7%,88.4%,21.0%,25.38421052631579,179.8,179.83157894736843,39.752631578947366,739.7894736842105,15.36842105263158,13.236842105263158,11.126315789473685,45.06315789473685,20.77894736842105
Vermont,,,,67.1%,84.5%,17.0%,29.31052631578948,177.67368421052632,176.18947368421053,43.68421052631579,740.3210526315789,12.257894736842106,14.415789473684208,6.684210526315789,46.1578947368421,22.721052631578942
Nevada,5.6306246182891305e-06,0.0003484264129466,0.002073340334093,45.1%,84.1%,16.0%,18.30526315789474,180.8894736842105,220.32105263157897,42.8,836.5315789473684,21.11578947368421,19.41578947368421,17.778947368421054,56.1,15.236842105263158
Hawaii,2.1216612646277696e-06,0.0001727345696639,0.0021448307700289,53.3%,85.2%,17.0%,13.394736842105264,144.0578947368421,155.43157894736842,30.931578947368426,623.8052631578947,19.621052631578948,11.473684210526317,11.236842105263158,19.51052631578948,16.13684210526316
Utah,5.759662640432095e-06,0.0006762419906131,0.0051320322025042,54.5%,87.4%,26.0%,24.394736842105264,134.52105263157895,162.76315789473685,38.54210526315789,734.9368421052632,19.92105263157895,17.973684210526315,12.642105263157896,33.60526315789474,27.28421052631579
Nebraska,3.5610052680387407e-06,0.0003762617070056,0.0025150202131226,60.7%,88.4%,18.0%,23.34210526315789,170.7421052631579,172.70000000000002,37.15263157894736,750.9157894736842,16.473684210526315,11.273684210526316,12.168421052631578,48.4,22.05263157894737
Georgia,1.9828512408456124e-05,0.0005362737536347,0.0033501146784226,42.6%,82.0%,22.0%,29.115789473684213,181.01052631578943,216.0736842105263,42.61578947368421,874.5368421052632,20.64210526315789,11.61578947368421,20.23157894736842,46.77894736842105,21.94210526315789
Texas,6.640501625858391e-06,0.0004664459564436,0.002440321185092,54.9%,90.0%,25.0%,27.378947368421056,171.00526315789477,204.8736842105263,39.189473684210526,803.1526315789473,17.18421052631579,11.363157894736842,15.305263157894736,42.97894736842105,25.64210526315789
Montana,,,,47.3%,86.6%,25.0%,22.41578947368421,170.7736842105263,170.57894736842104,54.857894736842105,786.1,16.80526315789474,21.57894736842105,10.505263157894737,54.16842105263158,22.321052631578947
Tennessee,1.488881707510045e-05,0.0009671899493596,0.0034588708455986,50.7%,90.5%,16.0%,34.10526315789474,198.32631578947368,236.9578947368421,52.98947368421052,924.3368421052631,24.96315789473684,14.25263157894737,12.994736842105263,52.57368421052632,26.894736842105264
Florida,4.983978773687492e-06,0.0006222421984118,0.0066847237727933,56.1%,87.2%,19.0%,18.1,169.01052631578946,183.3684210526316,44.01578947368421,726.5947368421052,11.305263157894736,13.468421052631578,10.74736842105263,39.642105263157895,20.73684210526316
Missouri,2.0800641571691428e-05,0.0007951771146781,0.003238624989815,56.5%,89.7%,19.0%,24.83157894736842,189.4842105263158,227.3421052631579,48.36315789473685,853.8000000000001,20.931578947368426,14.26842105263158,18.010526315789473,50.2,22.48421052631579
Delaware,,,,65.3%,89.0%,21.0%,20.14736842105264,188.51052631578943,203.7526315789474,40.05789473684211,799.7105263157895,16.468421052631577,11.447368421052632,15.484210526315788,42.38947368421052,22.36842105263158
South Dakota,3.727888032137377e-06,0.0004599799621876,0.0026787774979376,51.5%,84.1%,27.0%,29.831578947368417,172.30526315789476,178.4578947368421,47.3,742.9,19.06842105263157,16.057894736842105,8.647368421052633,43.83157894736842,23.894736842105264
Mississippi,3.125429746590156e-06,0.0001823167352177,0.0024282505511174,51.9%,85.0%,19.0%,29.657894736842103,204.42105263157896,277.13157894736844,58.71052631578947,987.6789473684212,23.77894736842105,12.710526315789474,23.00526315789474,52.33684210526316,27.605263157894736
Connecticut,4.879897183599046e-06,0.0002326268124452,0.0016634200186873,68.0%,88.5%,22.0%,16.352631578947367,166.6578947368421,175.9421052631579,36.17894736842105,696.2631578947369,16.778947368421054,8.75263157894737,13.15263157894737,33.66315789473684,16.38421052631579
Minnesota,5.03843598205734e-06,0.0003823930094189,0.0024415471616426,64.9%,83.7%,16.0%,23.68421052631579,168.1157894736842,137.4105263157895,38.02105263157895,687.1157894736842,12.61578947368421,11.13157894736842,11.989473684210529,36.55789473684211,21.057894736842105
South Carolina,,,,61.9%,81.1%,21.0%,33.55263157894737,188.4,208.19473684210524,50.84736842105264,885.2368421052631,17.521052631578947,12.821052631578947,17.31578947368421,47.05263157894737,25.257894736842104
Rhode Island,3.290418533495299e-06,0.0002266241201724,0.0015978714807867,71.1%,83.9%,18.0%,22.1,180.7,196.35789473684213,37.78421052631579,748.3473684210527,17.431578947368422,9.405263157894735,11.142105263157896,37.7578947368421,18.78421052631579
Colorado,5.909779018295302e-06,0.0005363534318281,0.0031047457352317,54.1%,81.1%,25.0%,28.9,152.7526315789474,150.62105263157895,45.16315789473684,718.6947368421053,15.668421052631578,17.405263157894737,10.289473684210526,50.01578947368421,17.19473684210526
