city,state,city_longitude,city_latitude,Audio Evidence,Witness Count,Event,apparition_types_str,apparition_adj_str,unique_apparition_mentions,Visual Evidence,time_of_day
Bay City,Michigan,-83.8888647,43.5944677,No,0,Supernatural,Unknown,,0,False,Dusk
Bellaire,Michigan,-85.2111728,44.9802822,No,1,Supernatural,Unknown,,0,False,Evening
Dearborn,Michigan,-83.17631449999999,42.3222599,Yes,0,Unknown,Unknown,,0,False,Dusk
Dearborn,Michigan,-83.17631449999999,42.3222599,Yes,1+,Supernatural,Unknown,,0,False,Dusk
Dearborn,Michigan,-83.17631449999999,42.3222599,Yes,5+,Supernatural,Unknown,,0,False,Dusk
Belding,Michigan,-85.228906,43.0978094,Yes,1,Unknown,Unknown,,0,False,Unknown
Belleville,Michigan,-83.4852133,42.2047619,No,1,Supernatural,Unknown,,0,False,Unknown
Belleville,Michigan,-83.4852133,42.2047619,No,1,Supernatural,orb,"large orb, greenish orb",1,True,Dusk
Belleville,Michigan,-83.4852133,42.2047619,No,1,Supernatural,Unknown,,0,False,Evening
Belleville,Michigan,-83.4852133,42.2047619,No,1,Supernatural,ghost,,1,False,Evening
Berville,Michigan,-82.8829846,42.9083621,Yes,1,Supernatural,Unknown,,0,False,Morning
Big Rapids,Michigan,-85.4836557,43.6980782,Yes,1,Supernatural,Unknown,,0,False,Dusk
Big Rapids,Michigan,-85.4836557,43.6980782,Yes,1,Supernatural,shadow,,1,False,Unknown
Big Rapids,Michigan,-85.4836557,43.6980782,Yes,3,Unknown,Unknown,,0,False,Unknown
Birmingham,Michigan,-83.21131919999999,42.5467012,Yes,0,Supernatural,apparition,,1,False,Morning
Bloomfield,Michigan,-83.2827093,42.5793103,No,0,Unknown,Unknown,,0,False,Dusk
Bloomfield,Michigan,-83.2827093,42.5793103,No,0,Supernatural,Unknown,,0,False,Dusk
Borculo,Michigan,-86.0211532,42.8850235,No,2+,Unknown,Unknown,,0,False,Unknown
Breckenridge,Michigan,-84.4749978,43.4080849,Yes,0,Unknown,Unknown,,0,False,Dusk
Bridgeport,Michigan,-83.88163639999999,43.3594696,No,0,Murder,Unknown,,0,False,Dusk
Bridgeport,Michigan,-83.88163639999999,43.3594696,Yes,1,Unknown,Unknown,,0,False,Dusk
Brighton,Michigan,-83.7802214,42.5294773,No,0,Supernatural,ghost,,1,False,Dusk
Brimley,Michigan,-84.6920059,46.3740542,No,1,Murder,ghost figure,,2,False,Evening
Brooklyn,Michigan,-84.2482819,42.105874,Yes,0,Murder,Unknown,,0,False,Dusk
Brownstown,Michigan,-83.2572332,42.1261157,No,1+,Supernatural,shadow,extra shadow,1,True,Unknown
Brownstown,Michigan,-83.2572332,42.1261157,No,0,Supernatural,Unknown,,0,False,Morning
Brownstown,Michigan,-83.2572332,42.1261157,No,2+,Supernatural,apparition,,1,False,Evening
Burton,Michigan,-83.6163423,42.99947179999999,No,0,Unknown,Unknown,,0,False,Unknown
Byron,Michigan,-83.9444027,42.8228091,Yes,3+,Supernatural,figure,,1,False,Evening
Calumet,Michigan,-88.45400599999999,47.24659219999999,Yes,2+,Murder,ghost orb,,2,False,Evening
Canton,Michigan,-83.48211599999999,42.3086444,Yes,0,Murder,figure,,1,False,Dusk
Canton,Michigan,-83.48211599999999,42.3086444,No,5+,Supernatural,Unknown,,0,False,Dusk
Canton,Michigan,-83.48211599999999,42.3086444,Yes,3,Supernatural,spirit,,1,False,Evening
Canton,Michigan,-83.48211599999999,42.3086444,Yes,0,Supernatural,Unknown,,0,False,Unknown
Cass City,Michigan,-83.17466929999999,43.6008515,Yes,1,Unknown,Unknown,,0,False,Evening
Central Lake,Michigan,-85.2645105,45.0700047,No,6,Supernatural,ghost,little ghost,1,False,Dusk
Charlevoix,Michigan,-85.2584004,45.3180632,No,0,Supernatural,ghost,,1,False,Dusk
Charlotte,Michigan,-84.83582109999999,42.5636478,No,1,Suicide,Unknown,,0,False,Evening
Charlotte,Michigan,-84.83582109999999,42.5636478,No,2+,Supernatural,Unknown,,0,False,Dusk
Cheboygan,Michigan,-84.4744795,45.64695630000001,No,4,Murder,Unknown,,0,False,Evening
Cheboygan,Michigan,-84.4744795,45.64695630000001,No,0,Unknown,Unknown,,0,False,Unknown
Cheboygan,Michigan,-84.4744795,45.64695630000001,Yes,1,Supernatural,ghost,,1,False,Morning
Chelsea,Michigan,-84.0205029,42.3180919,Yes,1,Supernatural,Unknown,,0,False,Dusk
Chelsea,Michigan,-84.0205029,42.3180919,No,1,Supernatural,ghost presence,odd presence,2,False,Evening
Chelsea,Michigan,-84.0205029,42.3180919,No,0,Supernatural,Unknown,,0,False,Dusk
Chesaning,Michigan,-84.11497469999999,43.1847483,Yes,3,Supernatural,Unknown,,0,False,Morning
Clarksdale,Michigan,-83.4192941,42.7351196,Yes,2+,Unknown,Unknown,,0,False,Evening
Clarkston,Michigan,-83.4192941,42.7351196,Yes,3,Supernatural,shadow,,1,False,Evening
Clarkston,Michigan,-83.4192941,42.7351196,No,1,Unknown,Unknown,,0,False,Dusk
Clinton Township,Michigan,-82.9195514,42.5868882,Yes,0,Supernatural,Unknown,,0,False,Evening
Clinton Township,Michigan,-82.9195514,42.5868882,Yes,6+,Murder,Unknown,,0,False,Unknown
Clinton Township,Michigan,-82.9195514,42.5868882,No,2+,Supernatural,shadow,,1,False,Evening
Clinton County,Michigan,-84.5222189,42.9663458,Yes,0,Supernatural,Unknown,,0,False,Evening
Clinton County,Michigan,-84.5222189,42.9663458,No,1+,Supernatural,orb,,1,True,Dusk
Clinton Township,Michigan,-82.9195514,42.5868882,No,2+,Murder,ghost figure,,2,False,Evening
Clyde township,Michigan,-82.5834947,43.0313165,Yes,1,Unknown,Unknown,,0,False,Dusk
Cockeysville,Michigan,,,No,1,Supernatural,ghost,real ghost,1,False,Unknown
Coldwater,Michigan,-85.00052149999999,41.9403263,No,2,Supernatural,ghost,,1,False,Dusk
Coldwater,Michigan,-85.00052149999999,41.9403263,No,1,Supernatural,figure mist,,2,True,Dusk
Croton,Michigan,-85.62292959999999,43.4194319,No,3+,Murder,figure,boy figure,1,False,Morning
Cranbrooke campus,Michigan,-83.24118059999999,42.5770046,No,3+,Natural Disaster,Unknown,,0,False,Unknown
Crystal Falls,Michigan,-88.3340242,46.0980066,Yes,0,Murder,apparition,,1,False,Dusk
Dansville,Michigan,-84.3033013,42.555869,No,0,Suicide,witch,,1,False,Unknown
Davison,Michigan,-83.5180063,43.0347491,Yes,5+,Supernatural,ghost orb,,2,False,Unknown
Dearborn,Michigan,-83.17631449999999,42.3222599,Yes,5+,Supernatural,ghost,,1,False,Dusk
Dearborn,Michigan,-83.17631449999999,42.3222599,Yes,3+,Supernatural,Unknown,,0,False,Unknown
Dearborn,Michigan,-83.17631449999999,42.3222599,Yes,3+,Natural Disaster,ghost figure,tall figure,2,False,Evening
Dearborn,Michigan,-83.17631449999999,42.3222599,No,0,Natural Disaster,ghost,,1,False,Dusk
Dearborn,Michigan,-83.17631449999999,42.3222599,No,1,Murder,Unknown,,0,False,Evening
Dearborn,Michigan,-83.17631449999999,42.3222599,No,3,Supernatural,ghost orb figure mist,,4,True,Dusk
Dearborn,Michigan,-83.17631449999999,42.3222599,Yes,1,Supernatural,ghost,,1,True,Dusk
Dearborn,Michigan,-83.17631449999999,42.3222599,No,1,Supernatural,Unknown,,0,False,Evening
Dearborn,Michigan,-83.17631449999999,42.3222599,No,2+,Natural Disaster,figure,,1,False,Dusk
Dearborn,Michigan,-83.17631449999999,42.3222599,No,2+,Supernatural,spirit presence,,2,False,Evening
Dearborn Heights,Michigan,-83.27326269999999,42.3369816,Yes,3+,Suicide,figure,,1,False,Dusk
Dearborn Heights,Michigan,-83.27326269999999,42.3369816,No,1,Supernatural,ghost,other ghost,1,False,Dusk
Dearborn Heights,Michigan,-83.27326269999999,42.3369816,Yes,4+,Supernatural,ghost,,1,False,Unknown
Dearborn Heights,Michigan,-83.27326269999999,42.3369816,No,0,Unknown,Unknown,,0,False,Dusk
Dearborn Heights,Michigan,-83.27326269999999,42.3369816,Yes,2+,Unknown,Unknown,,0,False,Dusk
Dearborn Heights,Michigan,-83.27326269999999,42.3369816,Yes,3+,Unknown,Unknown,,0,False,Dusk
Dearborn Heights,Michigan,-83.27326269999999,42.3369816,Yes,2+,Murder,Unknown,,0,False,Evening
Decatur,Michigan,-85.97445689999999,42.1080979,No,0,Murder,Unknown,,0,False,Evening
Detroit,Michigan,-83.0457538,42.331427,No,0,Murder,Unknown,,0,False,Dusk
Detroit,Michigan,-83.0457538,42.331427,No,1,Suicide,Unknown,,0,False,Evening
Detroit,Michigan,-83.0457538,42.331427,No,2+,Supernatural,orb,,1,False,Unknown
Detroit,Michigan,-83.0457538,42.331427,Yes,5+,Supernatural,figure,nail figure,1,False,Dusk
Detroit,Michigan,-83.0457538,42.331427,Yes,5+,Suicide,ghost shadow,,2,False,Dusk
Detroit,Michigan,-83.0457538,42.331427,No,1,Supernatural,ghost,,1,False,Dusk
Detroit,Michigan,-83.0457538,42.331427,Yes,1,Unknown,Unknown,,0,False,Dusk
Detroit,Michigan,-83.0457538,42.331427,No,2,Supernatural,Unknown,,0,False,Morning
Detroit,Michigan,-83.0457538,42.331427,Yes,0,Unknown,Unknown,,0,False,Dusk
Detroit,Michigan,-83.0457538,42.331427,Yes,4+,Unknown,Unknown,,0,False,Evening
Detroit,Michigan,-83.0457538,42.331427,No,2+,Unknown,Unknown,,0,False,Dusk
Detroit,Michigan,-83.0457538,42.331427,No,0,Murder,figure,,1,False,Dusk
Detroit,Michigan,-83.0457538,42.331427,No,2+,Supernatural,ghost,,1,False,Evening
Detroit,Michigan,-83.0457538,42.331427,No,0,Death,ghost presence,,2,False,Evening
Detroit,Michigan,-83.0457538,42.331427,No,1,Supernatural,spirit,male spirit,1,False,Dusk
Dexter,Michigan,-83.8885552,42.33836970000001,No,0,Supernatural,shadow warlock,,2,False,Dusk
Dowagiac,Michigan,-86.10862279999999,41.9842123,Yes,3+,Supernatural,ghost,,1,False,Dusk
Dowagiac,Michigan,-86.10862279999999,41.9842123,Yes,3+,Supernatural,ghost,,1,False,Dusk
Dryden,Michigan,-83.12382649999999,42.9461395,Yes,1+,Supernatural,ghost,,1,False,Evening
Dutch town,Michigan,-86.1089301,42.7875235,Yes,1,Supernatural,spirit,,1,False,Unknown
Eagle Harbor,Michigan,-88.1623228,47.4582339,Yes,1,Supernatural,apparition,,1,False,Dusk
East Lansing,Michigan,-84.48386540000001,42.7369792,Yes,0,Supernatural,Unknown,,0,False,Evening
East Lansing,Michigan,-84.48386540000001,42.7369792,No,1,Supernatural,figure,male figure,1,False,Unknown
East Lansing,Michigan,-84.48386540000001,42.7369792,Yes,0,Supernatural,figure,,1,False,Dusk
East Lansing,Michigan,-84.48386540000001,42.7369792,Yes,5+,Supernatural,apparition,,1,False,Unknown
East Lansing,Michigan,-84.48386540000001,42.7369792,Yes,0,Supernatural,presence,eerie presence,1,False,Morning
East Lansing,Michigan,-84.48386540000001,42.7369792,No,1,Supernatural,figure presence,dormitory figure,2,False,Unknown
East Lansing,Michigan,-84.48386540000001,42.7369792,Yes,0,Supernatural,figure,,1,False,Evening
East Lansing,Michigan,-84.48386540000001,42.7369792,Yes,0,Unknown,Unknown,,0,False,Morning
East Lansing,Michigan,-84.48386540000001,42.7369792,Yes,3,Supernatural,figure,,1,False,Evening
East Leroy,Michigan,-85.2174862,42.1661559,Yes,1,Supernatural,phantom,,1,False,Unknown
Eastpointe,Michigan,-82.9554746,42.4683698,No,2+,Supernatural,apparition shadow presence,strange presence,3,False,Evening
Eastpointe,Michigan,-82.9554746,42.4683698,No,1,Murder,Unknown,,0,False,Dusk
Eau Claire,Michigan,-86.29973869999999,41.9850452,Yes,1,Murder,figure,,1,False,Dusk
Enterprise,Michigan,-83.3670279,42.2822264,Yes,5+,Supernatural,figure,,1,False,Unknown
Evart,Michigan,-85.2580971,43.9005752,No,1,Supernatural,Unknown,,0,False,Evening
Fallassburg,Michigan,-85.3227948,42.9822533,Yes,0,Supernatural,apparition witch,,2,False,Dusk
Farmington Hills,Michigan,-83.3677168,42.4989936,No,0,Supernatural,Unknown,,0,False,Unknown
Farmington Hills,Michigan,-83.3677168,42.4989936,Yes,2+,Supernatural,Unknown,,0,False,Unknown
Fenton,Michigan,-83.7049498,42.7978061,Yes,3+,Supernatural,phantom,,1,False,Unknown
Fennville,Michigan,-86.1017009,42.5939168,No,2+,Supernatural,werewolf,,1,False,Dusk
Fennville,Michigan,-86.1017009,42.5939168,Yes,3,Supernatural,Unknown,,0,False,Dusk
Ferndale,Michigan,-83.1346478,42.4605917,Yes,0,Unknown,Unknown,,0,False,Dusk
Fife Lake,Michigan,-85.3506136,44.5769496,No,1,Murder,Unknown,,0,False,Dusk
Flat Rock,Michigan,-83.2918744,42.0964314,No,2,Murder,orb,,1,True,Dusk
Flint,Michigan,-83.6874562,43.0125274,Yes,3+,Death,shadow,,1,False,Unknown
Flint,Michigan,-83.6874562,43.0125274,No,1,Unknown,Unknown,,0,False,Dusk
Flint,Michigan,-83.6874562,43.0125274,No,1,Unknown,Unknown,,0,False,Unknown
Flint,Michigan,-83.6874562,43.0125274,Yes,1,Supernatural,Unknown,,0,False,Evening
Flint,Michigan,-83.6874562,43.0125274,Yes,1,Supernatural,Unknown,,0,False,Unknown
Forester,Michigan,-82.5693699,43.4991899,No,0,Murder,Unknown,,0,False,Dusk
Forester,Michigan,-82.5693699,43.4991899,No,0,Supernatural,Unknown,,0,False,Evening
Forester,Michigan,-82.5693699,43.4991899,No,1+,Suicide,ghost,,1,False,Morning
Forestville,Michigan,-82.6093707,43.6619638,Yes,1,Unknown,Unknown,,0,False,Evening
Frankenmuth,Michigan,-83.7380194,43.331691,No,1,Murder,Unknown,,0,False,Dusk
Fraser,Michigan,-82.9493652,42.539202,Yes,3+,Unknown,Unknown,,0,False,Dusk
Freeland,Michigan,-84.1227598,43.5250265,No,1,Supernatural,Unknown,,0,False,Unknown
Freeland,Michigan,-84.1227598,43.5250265,No,0,Unknown,Unknown,,0,False,Evening
Fremont,Michigan,-85.9420013,43.4675173,Yes,1,Supernatural,spirit figure presence,,3,False,Dusk
Fremont,Michigan,-85.9420013,43.4675173,Yes,3+,Supernatural,ghost,,1,False,Unknown
Garden City,Michigan,-83.3310422,42.3255928,Yes,0,Murder,Unknown,,0,False,Evening
Garden City,Michigan,-83.3310422,42.3255928,No,0,Supernatural,Unknown,,0,False,Evening
Garden City,Michigan,-83.3310422,42.3255928,No,0,Murder,Unknown,,0,False,Evening
Garden City,Michigan,-83.3310422,42.3255928,No,1,Supernatural,Unknown,,0,False,Evening
Garden City,Michigan,-83.3310422,42.3255928,No,0,Supernatural,apparition,,1,False,Unknown
Garden City,Michigan,-83.3310422,42.3255928,Yes,2+,Murder,Unknown,,0,False,Dusk
Genesee,Michigan,-83.6135572,43.0935147,Yes,1,Supernatural,Unknown,,0,False,Dusk
Gladstone,Michigan,-87.02180489999999,45.8527435,No,0,Murder,Unknown,,0,False,Dusk
Goodrich,Michigan,-83.5063365,42.916972,Yes,2+,Supernatural,Unknown,,0,False,Evening
Grand Blanc,Michigan,-83.6299518,42.9275277,Yes,4+,Supernatural,Unknown,,0,False,Unknown
Grand Blanc,Michigan,-83.6299518,42.9275277,Yes,1,Supernatural,figure,,1,False,Dusk
Grand Haven,Michigan,-86.22838639999999,43.0630734,No,3,Supernatural,Unknown,,0,False,Evening
,Michigan,,,No,0,Unknown,Unknown,,0,False,Dusk
Grand Haven,Michigan,-86.22838639999999,43.0630734,No,0,Supernatural,apparition,blue apparition,1,False,Dusk
Grand Ledge,Michigan,-84.7463757,42.7533685,Yes,0,Unknown,Unknown,,0,False,Dusk
Grand Rapids,Michigan,-85.6680863,42.9633599,No,0,Supernatural,Unknown,,0,False,Morning
Grand Rapids,Michigan,-85.6680863,42.9633599,No,0,Supernatural,Unknown,,0,False,Dusk
Grand Rapids,Michigan,-85.6680863,42.9633599,No,2+,Supernatural,spirit,,1,False,Evening
Grand Rapids,Michigan,-85.6680863,42.9633599,No,1,Supernatural,ghost specter,,2,False,Unknown
Grand Rapids,Michigan,-85.6680863,42.9633599,No,0,Supernatural,Unknown,,0,False,Dusk
Grand Rapids,Michigan,-85.6680863,42.9633599,No,0,Supernatural,Unknown,,0,False,Dusk
Grand Rapids,Michigan,-85.6680863,42.9633599,No,3+,Supernatural,presence,evil presence,1,False,Unknown
Grand Rapids,Michigan,-85.6680863,42.9633599,No,1,Supernatural,Unknown,,0,False,Dusk
Grand Rapids,Michigan,-85.6680863,42.9633599,Yes,1,Unknown,Unknown,,0,False,Dusk
Grand Rapids,Michigan,-85.6680863,42.9633599,Yes,2,Supernatural,Unknown,,0,False,Morning
Grand Rapids,Michigan,-85.6680863,42.9633599,Yes,3+,Natural Disaster,Unknown,,0,False,Morning
Grand Rapids,Michigan,-85.6680863,42.9633599,No,2+,Supernatural,ghost figure,shadowy figure,2,False,Dusk
Grand Rapids,Michigan,-85.6680863,42.9633599,Yes,3,Supernatural,Unknown,,0,False,Morning
Grand Rapids,Michigan,-85.6680863,42.9633599,No,100+,Supernatural,Unknown,,0,False,Dusk
Grand Traverse County,Michigan,-85.52002399999999,44.687984,No,0,Supernatural,Unknown,,0,False,Unknown
Grandville,Michigan,-85.7630885,42.9097484,No,2+,Supernatural,Unknown,,0,False,Evening
Grant,Michigan,-85.8108819,43.3361323,No,3+,Unknown,Unknown,,0,False,Dusk
Grayling,Michigan,-84.7147512,44.6614039,Yes,0,Supernatural,Unknown,,0,False,Morning
Grayling,Michigan,-84.7147512,44.6614039,Yes,2+,Natural Disaster,figure,,1,False,Evening
Greenville,Michigan,-85.2527987,43.1775314,No,0,Murder,ghost,,1,False,Evening
Greenville,Michigan,-85.2527987,43.1775314,No,3+,Natural Disaster,ghost,,1,False,Evening
Greenville,Michigan,-85.2527987,43.1775314,No,1,Unknown,Unknown,,0,False,Dusk
Grosse Ile,Michigan,-83.1445904,42.1290753,Yes,0,Unknown,Unknown,,0,False,Evening
Grosse Isle,Michigan,-83.1445904,42.1290753,No,1+,Supernatural,ghost,,1,False,Dusk
Grosse Ile,Michigan,-83.1445904,42.1290753,No,3+,Supernatural,Unknown,,0,False,Dusk
Grosse Pointe Shores,Michigan,-82.87685859999999,42.4367034,No,1,Supernatural,Unknown,,0,False,Unknown
Grosse Pointe Woods,Michigan,-82.90686029999999,42.4436478,Yes,0,Unknown,Unknown,,0,False,Unknown
Gulliver,Michigan,-86.012069,45.9930329,No,1,Supernatural,ghost,additional ghost,1,False,Morning
Hamilton,Michigan,-85.9987285,42.671257,No,0,Supernatural,ghost,,1,False,Dusk
Hancock,Michigan,-88.5809563,47.1268714,No,3+,Natural Disaster,Unknown,,0,False,Dusk
Harrison,Michigan,-84.7994675,44.0191862,Yes,1,Supernatural,Unknown,,0,False,Dusk
Hartford,Michigan,-86.1666876,42.2067051,No,2+,Supernatural,Unknown,,0,False,Dusk
Hartland,Michigan,-83.7507315,42.6315066,No,1+,Supernatural,Unknown,,0,False,Unknown
Hastings,Michigan,-85.29084030000001,42.6458682,No,2+,Supernatural,figure,"dark figure, shadowy figure",1,False,Morning
Harrison,Michigan,-84.7994675,44.0191862,Yes,0,Supernatural,Unknown,,0,False,Dusk
Harrison,Michigan,-84.7994675,44.0191862,Yes,5,Supernatural,ghost figure,large figure,2,False,Dusk
Harrisville,Michigan,-83.2946891,44.6564022,No,1,Unknown,Unknown,,0,False,Dusk
Hartland,Michigan,-83.7507315,42.6315066,No,0,Supernatural,orb mist,,2,True,Evening
Hastings,Michigan,-85.29084030000001,42.6458682,No,2,Murder,Unknown,,0,False,Dusk
Highland,Michigan,-83.6175677,42.6380014,No,0,Death,Unknown,,0,False,Unknown
Holland,Michigan,-86.1089301,42.7875235,No,1,Supernatural,ghost,,1,False,Dusk
Holly,Michigan,-83.6277255,42.7919727,No,0,Supernatural,ghost,,1,False,Unknown
Holt,Michigan,-84.5152545,42.6405912,No,2+,Supernatural,presence,eerie presence,1,False,Dusk
Holt,Michigan,-84.5152545,42.6405912,No,1,Suicide,Unknown,,0,False,Dusk
Holt,Michigan,-84.5152545,42.6405912,Yes,2+,Murder,Unknown,,0,False,Evening
Houghton Lake,Michigan,-84.7647496,44.314739,No,1,Supernatural,Unknown,,0,False,Unknown
Howell,Michigan,-83.9293952,42.6072552,Yes,4+,Supernatural,spirit,,1,False,Dusk
Howell,Michigan,-83.9293952,42.6072552,No,1+,Supernatural,Unknown,,0,False,Unknown
Inkster,Michigan,-83.30993029999999,42.2942045,No,1,Unknown,Unknown,,0,True,Dusk
Interlochen,Michigan,-85.7676077,44.64537379999999,Yes,2+,Supernatural,Unknown,,0,False,Dusk
Ionia,Michigan,-85.07111739999999,42.9872547,No,0,Unknown,Unknown,,0,False,Dusk
Ionia,Michigan,-85.07111739999999,42.9872547,No,1,Death,Unknown,,0,False,Unknown
Iron River,Michigan,-88.6423544,46.0927322,Yes,1,Unknown,Unknown,,0,False,Unknown
Jackson,Michigan,-84.40134619999999,42.245869,Yes,2+,Supernatural,Unknown,,0,False,Unknown
Jackson,Michigan,-84.40134619999999,42.245869,No,3+,Supernatural,shadow,,1,False,Unknown
Jackson,Michigan,-84.40134619999999,42.245869,No,0,Murder,Unknown,,0,False,Evening
Jackson,Michigan,-84.40134619999999,42.245869,No,1,Unknown,mist,white mist,1,False,Dusk
Jackson,Michigan,-84.40134619999999,42.245869,No,0,Unknown,Unknown,,0,False,Unknown
Kalamazoo,Michigan,-85.5872286,42.2917069,Yes,3+,Supernatural,Unknown,,0,False,Evening
Kalamazoo,Michigan,-85.5872286,42.2917069,No,3+,Supernatural,ghost,,1,False,Dusk
Kalamazoo,Michigan,-85.5872286,42.2917069,No,2+,Supernatural,presence,,1,False,Unknown
Kalamazoo,Michigan,-85.5872286,42.2917069,Yes,0,Unknown,Unknown,,0,False,Evening
Kalamazoo,Michigan,-85.5872286,42.2917069,No,2+,Supernatural,ghost,,1,False,Dusk
Keego Harbor,Michigan,-83.3438247,42.6080884,No,0,Supernatural,ghost,,1,False,Evening
Kelloggsville,Michigan,,,No,1,Supernatural,presence,,1,False,Dusk
Kent County,Michigan,-85.52002399999999,43.0097027,No,2+,Supernatural,apparition,,1,False,Unknown
Kent County,Michigan,-85.52002399999999,43.0097027,No,1,Supernatural,spirit shadow,disembodied spirit,2,False,Unknown
Kenton,Michigan,-88.89402830000002,46.4854993,No,1+,Supernatural,orb,,1,False,Dusk
Kentwood,Michigan,-85.64474919999999,42.8694731,No,2,Supernatural,ghost,,1,False,Dusk
Kewadin,Michigan,-85.3731257,44.9286137,Yes,0,Suicide,Unknown,,0,False,Evening
Kingsford,Michigan,-88.0720706,45.7949561,No,5+,Supernatural,Unknown,,0,False,Dusk
Kingsford,Michigan,-88.0720706,45.7949561,No,0,Unknown,Unknown,,0,False,Dusk
Lake Orion,Michigan,-83.2396612,42.7844752,No,0,Unknown,Unknown,,0,False,Dusk
Lambertville,Michigan,-83.624201,41.75290880000001,Yes,5,Suicide,figure,,1,False,Evening
Lapeer,Michigan,-83.31883409999999,43.0514161,Yes,1,Supernatural,Unknown,,0,False,Dusk
Lansing,Michigan,-84.5555347,42.732535,No,0,Unknown,Unknown,,0,False,Dusk
Lincoln Park,Michigan,-83.1785361,42.2505943,No,3+,Unknown,Unknown,,0,False,Dusk
Lincoln Park,Michigan,-83.1785361,42.2505943,No,2+,Supernatural,Unknown,,0,False,Unknown
Livonia,Michigan,-83.35270969999999,42.36837,No,1,Unknown,Unknown,,0,False,Dusk
Livonia,Michigan,-83.35270969999999,42.36837,Yes,3+,Supernatural,Unknown,,0,False,Dusk
Livonia,Michigan,-83.35270969999999,42.36837,Yes,3,Supernatural,ghost,,1,False,Unknown
Livonia,Michigan,-83.35270969999999,42.36837,Yes,2+,Unknown,Unknown,,0,False,Evening
Livonia,Michigan,-83.35270969999999,42.36837,Yes,1,Suicide,Unknown,,0,False,Dusk
Livonia,Michigan,-83.35270969999999,42.36837,Yes,1+,Murder,spirit,,1,False,Evening
Lowell,Michigan,-85.34196089999999,42.9336426,Yes,0,Unknown,Unknown,,0,False,Unknown
Luce County,Michigan,-85.513329,46.5827512,No,0,Death,spirit,,1,False,Evening
Luna Pier,Michigan,-83.442433,41.8069907,Yes,2+,Supernatural,ghost apparition,"strange apparition, black apparition",2,False,Dusk
Macomb Twp,Michigan,-82.92864279999999,42.6651965,Yes,0,Supernatural,shadow,,1,False,Unknown
Mackinac Island,Michigan,-84.6189339,45.8491796,No,1,Supernatural,figure,attic figure,1,False,Dusk
Mackinac Island,Michigan,-84.6189339,45.8491796,Yes,1,Supernatural,Unknown,,0,False,Evening
Mackinac Island,Michigan,-84.6189339,45.8491796,No,0,Murder,Unknown,,0,False,Morning
Mackinac Island,Michigan,-84.6189339,45.8491796,Yes,2+,Supernatural,ghost phantom,,2,False,Morning
Mackinac Island,Michigan,-84.6189339,45.8491796,No,0,Unknown,Unknown,,0,False,Unknown
Mackinac Island,Michigan,-84.6189339,45.8491796,Yes,0,Unknown,Unknown,,0,False,Dusk
Mackinac Island,Michigan,-84.6189339,45.8491796,No,1,Supernatural,Unknown,,0,False,Unknown
Mackinac Island,Michigan,-84.6189339,45.8491796,No,3+,Supernatural,ghost presence,,2,False,Dusk
Mackinac Island,Michigan,-84.6189339,45.8491796,No,3,Suicide,Unknown,,0,False,Morning
